quarter,fs_tx,src_tx,fs_hold,src_hold,fs_filing,src_filing,verdict
2006q1,234592,234592,110258,110258,83657,83657,OK
2006q2,199249,199249,76480,76480,70295,70295,OK
2006q3,159522,159522,57765,57765,53564,53564,OK
2006q4,193962,193962,68666,68666,60959,60959,OK
2007q1,243769,243769,106423,106423,82540,82540,OK
2007q2,226194,226194,76276,76276,71855,71855,OK
2007q3,211376,211376,63236,63236,58307,58307,OK
2007q4,228258,228258,70193,70193,63747,63747,OK
2008q1,227897,227897,99565,99565,78685,78685,OK
2008q2,222376,222376,73197,73197,67641,67641,OK
2008q3,128474,128474,58472,58472,51472,51472,OK
2008q4,108472,108472,62847,62847,52300,52300,OK
2009q1,129713,129713,84574,84574,69390,69390,OK
2009q2,102301,102301,54391,54391,53088,53088,OK
2009q3,96461,96461,49048,49048,43619,43619,OK
2009q4,104533,104533,49728,49728,46888,46888,OK
2010q1,146051,146051,81474,81474,69725,69725,OK
2010q2,118182,118182,58462,58462,57898,57898,OK
2010q3,87058,87058,47777,47777,43766,43766,OK
2010q4,115917,115917,58302,58302,50146,50146,OK
2011q1,156286,156286,83225,83225,72582,72582,OK
2011q2,121011,121011,54712,54712,57671,57671,OK
2011q3,85994,85994,41750,41750,42254,42254,OK
2011q4,90672,90672,44065,44065,43181,43181,OK
2012q1,153475,153475,76664,76664,71282,71282,OK
2012q2,106049,106049,51286,51286,54814,54814,OK
2012q3,94885,94885,43226,43226,42682,42682,OK
2012q4,113751,113751,51275,51275,47981,47981,OK
2013q1,150405,150405,75480,75480,69605,69605,OK
2013q2,116369,116369,52584,52584,56930,56930,OK
2013q3,96149,96149,43954,43954,44336,44336,OK
2013q4,104774,104774,45755,45755,46586,46586,OK
2014q1,157126,157126,73198,73198,72485,72485,OK
2014q2,109066,109066,48717,48717,56980,56980,OK
2014q3,88424,88424,40014,40014,43042,43042,OK
2014q4,101975,101975,44721,44721,47604,47604,OK
2015q1,156219,156219,69763,69763,73143,73143,OK
2015q2,109174,109174,46620,46620,57345,57345,OK
2015q3,86040,86040,35044,35044,42553,42553,OK
2015q4,91785,91785,38557,38557,43357,43357,OK
2016q1,138971,138971,64464,64464,68776,68776,OK
2016q2,98334,98334,40909,40909,53490,53490,OK
2016q3,82897,82897,35711,35711,40073,40073,OK
2016q4,87460,87460,38850,38850,41983,41983,OK
2017q1,151275,151275,64087,64087,70217,70217,OK
2017q2,102761,102761,40537,40537,53955,53955,OK
2017q3,74437,74437,30841,30841,37451,37451,OK
2017q4,85166,85166,37000,37000,40873,40873,OK
2018q1,149192,149192,61406,61406,68559,68559,OK
2018q2,103674,103674,41332,41332,53913,53913,OK
2018q3,80298,80298,36752,36752,38571,38571,OK
2018q4,94223,94223,59382,59382,41008,41008,OK
2019q1,150478,150478,68957,68957,67537,67537,OK
2019q2,102498,102498,47170,47170,53007,53007,OK
2019q3,76846,76846,32030,32030,37647,37647,OK
2019q4,80833,80833,31102,31102,38145,38145,OK
2020q1,147172,147172,55190,55190,69408,69408,OK
2020q2,100030,100030,35220,35220,51459,51459,OK
2020q3,83186,83186,30015,30015,39096,39096,OK
2020q4,99991,99991,35860,35860,43607,43607,OK
2021q1,172649,172649,60524,60524,74944,74944,OK
2021q2,125105,125105,40574,40574,58798,58798,OK
2021q3,101687,101687,31165,31165,44057,44057,OK
2021q4,108879,108879,34053,34053,46675,46675,OK
2022q1,153973,153973,52082,52082,71395,71395,OK
2022q2,100238,100238,33920,33920,55261,55261,OK
2022q3,74051,74051,25043,25043,37955,37955,OK
2022q4,79485,79485,27727,27727,38307,38307,OK
2023q1,148685,148685,49348,49348,69457,69457,OK
2023q2,98045,98045,33753,33753,55207,55207,OK
2023q3,73964,73964,26107,26107,37036,37036,OK
2023q4,79370,79370,28338,28338,38108,38108,OK
2024q1,154295,154295,46853,46853,67671,67671,OK
2024q2,97460,97460,30582,30582,52802,52802,OK
2024q3,74884,74884,26033,26033,36075,36075,OK
2024q4,84822,84822,29542,29542,38547,38547,OK
2025q1,141953,141953,42529,42529,63284,63284,OK
2025q2,94276,94276,27858,27858,50861,50861,OK
2025q3,74466,74466,24246,24246,35457,35457,OK
2025q4,80117,80117,25744,25744,36421,36421,OK
2026q1,141643,141643,58120,58120,69259,69259,OK
